Altium Designer Pick and Place Locations
D:\1_AltiumProject\23_PHOTOCAM\SpaceLiin_Satellite_4U_Camera_Photodiode_V1.0.0\01_DESIGN\Project Outputs for OSA_V100\Pick Place for OSA_V100.csv

========================================================================================================================
File Design Information:

Date:       28/04/26
Time:       08:52
Revision:   406f3e4f292884cffdf442998d09228e03ea8346
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"TP33","","TopLayer","Testpoint_80_pin0","74.4000","45.4000","90","Test Point"
"JP3","DNP","TopLayer","JUMPER_1608","39.1065","10.0000","0",""
"JP2","DNP","TopLayer","JUMPER_1608","35.3065","10.0000","0",""
"C133","0.22uF/25V","TopLayer","CN-SMD-0603","27.8000","6.1000","0","CL10B224KA8NNNC"
"C132","0.22uF/25V","TopLayer","CN-SMD-0603","30.9000","6.1000","0","CL10B224KA8NNNC"
"C131","10nF/50V","TopLayer","CN-SMD-0603","36.6000","15.3000","0","CL10B103KB8NNNC"
"H12","HOLD","TopLayer","HEX-M3_NoVia_Smaller","3.0000","3.0000","0",""
"H11","HOLD","TopLayer","HEX-M3_NoVia_Smaller","79.0000","77.0000","0",""
"H9","HOLD","TopLayer","HEX-M3_NoVia_Smaller","79.0000","3.0000","0",""
"H8","HOLD","TopLayer","HEX-M3_NoVia_Smaller","3.0000","44.5000","0",""
"H7","HOLD","TopLayer","HEX-M3_NoVia_Smaller","79.0000","44.5000","0",""
"H6","HOLD","TopLayer","HEX-M3_NoVia_Smaller","43.0000","3.0000","0",""
"H5","HOLD","TopLayer","HEX-M3_NoVia_Smaller","45.5360","77.0000","0",""
"H10","HOLD","TopLayer","HEX-M3_NoVia_Smaller","3.0000","77.0000","0",""
"U27","ICL7660","TopLayer","SO8","51.9000","8.6000","180","ICL7660ACBAZA-T"
"U26","TPS7A4533DCQR","TopLayer","SOT223-6","43.9000","20.0000","270","TPS7A4533DCQR"
"U25","TPS5430DDAR","TopLayer","HSOP8","65.7000","8.6000","0","TPS5430DDAR"
"U24","ADG1414BRUZ","TopLayer","TSSOP24","11.0000","36.0000","90","ADG1414BRUZ"
"U23","REF1930","TopLayer","SOT23-5","31.2000","9.3000","270","REF1941AIDDCT"
"U22","ADG1414BRUZ","TopLayer","TSSOP24","11.0000","54.2000","90","ADG1414BRUZ"
"U21","ADG1414BRUZ","TopLayer","TSSOP24","11.0000","65.0000","90","ADG1414BRUZ"
"U20","OPA4340","TopLayer","SSOP16","10.4000","20.7000","180","OPA4340UA/2K5"
"U19","ADS8329","TopLayer","TSSOP16","26.6000","18.8000","0","ADS8329"
"TP20","Test_Point","TopLayer","TESTPOINT","8.7000","47.4000","90",""
"TP19","Test_Point","TopLayer","TESTPOINT","33.8000","3.5000","90",""
"TP18","Test_Point","TopLayer","TESTPOINT","10.7000","28.1000","90",""
"TP17","Test_Point","TopLayer","TESTPOINT","16.0000","10.0000","90",""
"TP16","Test_Point","TopLayer","TESTPOINT","4.0000","10.0000","90",""
"TP15","Test_Point","TopLayer","TESTPOINT","33.8000","6.2000","90",""
"TP14","Test_Point","TopLayer","TESTPOINT","60.0000","25.0000","90",""
"TP13","Test_Point","TopLayer","TESTPOINT","66.0000","25.0000","90",""
"TP12","Test_Point","TopLayer","TESTPOINT","10.0000","10.0000","90",""
"TP11","Test_Point","TopLayer","TESTPOINT","63.0000","25.0000","90",""
"TP10","Test_Point","TopLayer","TESTPOINT","13.0000","10.0000","90",""
"TP9","Test_Point","TopLayer","TESTPOINT","7.0000","10.0000","0",""
"R67","3.24K/0.1%","TopLayer","RES-SMD-0603","60.0998","9.3233","0","ERA-3AEB3241V"
"R66","10K/1%","TopLayer","RES-SMD-0603","60.1000","7.8232","180","ERJ-3EKF1002V"
"R65","4.7K/1%","TopLayer","RES-SMD-0603","5.4001","37.8001","270","ERJ-3EKF4701V"
"R64","4.7K/1%","TopLayer","RES-SMD-0603","4.1001","37.8001","270","ERJ-3EKF4701V"
"R63","2K/1%","TopLayer","RES-SMD-0603","36.6000","13.4999","0","ERJ-3EKF2001V"
"R62","10K/1%","TopLayer","RES-SMD-0603","36.5999","12.0001","0","ERJ-3EKF1002V"
"R60","4.7K/1%","TopLayer","RES-SMD-0603","5.4001","56.0001","270","ERJ-3EKF4701V"
"R59","4.7K/1%","TopLayer","RES-SMD-0603","4.1001","56.0001","270","ERJ-3EKF4701V"
"R58","330k/1%","TopLayer","RES-SMD-0603","17.1001","18.1573","270","ERJ-3EKF3303V"
"R57","0R/DNP","TopLayer","RES-SMD-0603","7.5001","24.4999","180","ERJ-3GEY0R00V"
"R56","4.7K/1%","TopLayer","RES-SMD-0603","5.4001","66.8001","270","ERJ-3EKF4701V"
"R55","10K/1%","TopLayer","RES-SMD-0603","4.4999","20.0001","0","ERJ-3EKF1002V"
"R54","51R/1%","TopLayer","RES-SMD-0603","16.2999","16.0001","0","ERJ-3EKF51R0V"
"R53","10K/1%","TopLayer","RES-SMD-0603","4.4999","21.5001","0","ERJ-3EKF1002V"
"R52","10K/1%","TopLayer","RES-SMD-0603","7.5001","16.7999","180","ERJ-3EKF1002V"
"R51","4.7K/1%","TopLayer","RES-SMD-0603","4.1001","66.8001","270","ERJ-3EKF4701V"
"R50","4.7K/1%","TopLayer","RES-SMD-0603","32.2730","19.6257","0","ERJ-3EKF4701V"
"R49","4.7K/1%","TopLayer","RES-SMD-0603","32.2729","18.2257","0","ERJ-3EKF4701V"
"R48","4.7K/1%","TopLayer","RES-SMD-0603","32.2729","16.8257","0","ERJ-3EKF4701V"
"R47","0R","TopLayer","RES-SMD-0603","32.3001","24.1999","180","ERJ-3GEY0R00V"
"R46","22R/1%","TopLayer","RES-SMD-0603","30.8000","12.8253","180","ERJ-3EKF22R0V"
"R45","22R/1%","TopLayer","RES-SMD-0603","30.8000","14.4253","180","ERJ-3EKF22R0V"
"PD8","Photodiode","BottomLayer","VEMD5080X01","37.6700","40.5000","180","VEMD5080X01"
"PD14","Photodiode","BottomLayer","VEMD5080X01","28.3400","40.5000","180","VEMD5080X01"
"PD2","Photodiode","BottomLayer","VEMD5080X01","47.0000","40.5000","180","VEMD5080X01"
"PD20","Photodiode","BottomLayer","VEMD5080X01","19.0100","40.5000","180","VEMD5080X01"
"PD1","Photodiode","BottomLayer","VEMD5080X01","47.0000","34.0000","180","VEMD5080X01"
"PD7","Photodiode","BottomLayer","VEMD5080X01","37.6700","34.0000","180","VEMD5080X01"
"PD13","Photodiode","BottomLayer","VEMD5080X01","28.3400","34.0000","180","VEMD5080X01"
"PD19","Photodiode","BottomLayer","VEMD5080X01","19.0100","34.0000","180","VEMD5080X01"
"PD10","Photodiode","BottomLayer","VEMD5080X01","37.6700","53.5000","180","VEMD5080X01"
"PD16","Photodiode","BottomLayer","VEMD5080X01","28.3400","53.5000","180","VEMD5080X01"
"PD4","Photodiode","BottomLayer","VEMD5080X01","47.0000","53.5000","180","VEMD5080X01"
"PD22","Photodiode","BottomLayer","VEMD5080X01","19.0100","53.5000","180","VEMD5080X01"
"PD3","Photodiode","BottomLayer","VEMD5080X01","47.0000","47.0000","180","VEMD5080X01"
"PD9","Photodiode","BottomLayer","VEMD5080X01","37.6700","47.0000","180","VEMD5080X01"
"PD15","Photodiode","BottomLayer","VEMD5080X01","28.3400","47.0000","180","VEMD5080X01"
"PD21","Photodiode","BottomLayer","VEMD5080X01","19.0100","47.0000","180","VEMD5080X01"
"PD12","Photodiode","BottomLayer","VEMD5080X01","37.6700","66.5000","180","VEMD5080X01"
"PD18","Photodiode","BottomLayer","VEMD5080X01","28.3400","66.5000","180","VEMD5080X01"
"PD6","Photodiode","BottomLayer","VEMD5080X01","47.0000","66.5000","180","VEMD5080X01"
"PD24","Photodiode","BottomLayer","VEMD5080X01","19.0100","66.5000","180","VEMD5080X01"
"PD5","Photodiode","BottomLayer","VEMD5080X01","47.0000","60.0000","180","VEMD5080X01"
"PD11","Photodiode","BottomLayer","VEMD5080X01","37.6700","60.0000","180","VEMD5080X01"
"PD17","Photodiode","BottomLayer","VEMD5080X01","28.3400","60.0000","180","VEMD5080X01"
"PD23","Photodiode","BottomLayer","VEMD5080X01","19.0100","60.0000","180","VEMD5080X01"
"L1","15uH/3.5A","TopLayer","SRP7050TA","66.2000","17.0000","90","SRP7050TA-150M"
"JP1","JUMP2","TopLayer","Jump2","59.7002","5.8000","270",""
"J3","Conn shunt","TopLayer","M50-3930342","37.0000","7.5000","0","WR-PHD 2.54 mm Angled Socket Header"
"J2","0532610971","TopLayer","0532610971","76.3455","23.7500","270","0532610971"
"D5","SS54","TopLayer","DIO-SMD-A","58.1000","14.5000","180","SS54"
"D4","S2303","TopLayer","SOT23-123","71.9000","18.2000","180","S2303"
"D3","S2303","TopLayer","SOT23-123","71.3500","24.2000","90","S2303"
"D2","S2303","TopLayer","SOT23-123","71.3500","27.6000","90","S2303"
"D1","S2303","TopLayer","SOT23-123","71.3500","30.9000","90","S2303"
"C130","10uF 16V","TopLayer","CAP_TANT_1206","50.2000","12.7000","180","TAJA106K016RNJ"
"C129","10uF 16V","TopLayer","CAP_TANT_1206","57.2000","9.4000","90","TAJA106K016RNJ"
"C128","10uF 16V","TopLayer","CAP_TANT_1206","46.7000","11.8000","90","TAJA106K016RNJ"
"C127","0.22uF/25V","TopLayer","CN-SMD-0603","35.7000","19.2000","90","CL10B224KA8NNNC"
"C126","0.22uF/25V","TopLayer","CN-SMD-0603","52.6000","17.8000","90","CL10B224KA8NNNC"
"C125","47uF/20V","TopLayer","CAP_TANT_2312","38.4950","20.8729","270","TAJC476K020RNJ"
"C124","47uF/20V","TopLayer","CAP_TANT_2312","49.7000","19.0000","270","TAJC476K020RNJ"
"C123","0.22uF/25V","TopLayer","CN-SMD-0603","35.7000","22.6000","90","CL10B224KA8NNNC"
"C122","0.22uF/25V","TopLayer","CN-SMD-0603","52.6145","20.8281","90","CL10B224KA8NNNC"
"C121","0.22uF/25V","TopLayer","CN-SMD-0603","56.3000","21.9000","0","CL10B224KA8NNNC"
"C120","0.22uF/25V","TopLayer","CN-SMD-0603","74.5865","4.7285","90","CL10B224KA8NNNC"
"C119","47uF/20V","TopLayer","CAP_TANT_2312","57.8648","18.9000","180","TAJC476K020RNJ"
"C118","47uF/20V","TopLayer","CAP_TANT_2312","71.9001","6.2585","270","TAJC476K020RNJ"
"C117","0.22uF/25V","TopLayer","CN-SMD-0603","59.3000","21.9000","0","CL10B224KA8NNNC"
"C116","0.22uF/25V","TopLayer","CN-SMD-0603","74.6001","7.7585","90","CL10B224KA8NNNC"
"C115","10nF/50V","TopLayer","CN-SMD-0603","60.1000","10.8000","0","CL10B103KB8NNNC"
"C114","0.22uF/25V","TopLayer","CN-SMD-0603","7.4000","42.6000","90","CL10B224KA8NNNC"
"C113","0.22uF/25V","TopLayer","CN-SMD-0603","4.1000","34.0000","90","CL10B224KA8NNNC"
"C112","0.22uF/25V","TopLayer","CN-SMD-0603","9.0000","42.6000","270","CL10B224KA8NNNC"
"C111","0.22uF/25V","TopLayer","CN-SMD-0603","5.4000","34.0000","270","CL10B224KA8NNNC"
"C110","10uF 16V","TopLayer","CAP_TANT_1206","30.5000","3.5000","180","TAJA106K016RNJ"
"C109","0.22uF/25V","TopLayer","CN-SMD-0603","26.7000","9.9000","270","CL10B224KA8NNNC"
"C108","0.22uF/25V","TopLayer","CN-SMD-0603","28.3000","12.9000","270","CL10B224KA8NNNC"
"C107","0.22uF/25V","TopLayer","CN-SMD-0603","27.7000","7.7000","0","CL10B224KA8NNNC"
"C106","0.22uF/25V","TopLayer","CN-SMD-0603","28.3000","9.9000","270","CL10B224KA8NNNC"
"C105","0.22uF/25V","TopLayer","CN-SMD-0603","5.6000","59.8000","0","CL10B224KA8NNNC"
